Product_id;sht_id;hersteller_produkt_nummer;bild_name_wurzel;anzahl_von_bilder;marke;produkt_name;detaillierte_beschreibung;zusammengefaste_beschreibung;produkt_merkmale;services;dokumente;hersteller_produkt_url;gewicht;Farbe;kategorie;reuter_megabad_aktion;reuter_megabad_preis;preis;gc_ek
26;DO2071389200;Dornbracht_TaraWT-Dreilochbatterie_20713892-00;Dornbracht_TaraWT-Dreilochbatterie_1;1;Dornbracht;Dornbracht Tara. Waschtisch-Dreilochbatterie;"Ausladung 165 mm, schwenkbarer Auslauf, Armaturenhöhe 285 mm, Luftsprudler M 18 x 1 - IG, Seitenventile mit 2 xControl Keramik-Oberteilen 1/2"", 2 Druckschläuche M 10 x 1 eingeschraubt, Quetschverschraubungen, Ablaufgarnitur 5/4""";"schwenkbarer Auslauf, Luftsprudler M 18 x 1 - IG, Seitenventile mit 2 xControl Keramik-Oberteile 1/2"", 2 Druckschläuche M 10 x 1 eingeschraubt, Ablaufgarnitur 1 1/4""";Zweigriffmischer;NULL;NULL;Dornbracht_TaraWT-Dreilochbatterie_https://www.dornbracht.com/de-at/products/?Series=Tara.&preferredItem=F160EDCD19A4432B9AFFB86DAE8BAAD5;NULL;chrom;NULL;664,07;1054,08;966,2;NULL
27;G19408001;Grohe_EssenceWaschtischmischer_19408001;Grohe_EssenceWaschtischmischer_1;2;Grohe;Grohe Essence 2-Loch-Waschtischbatterie;Wandmontage, Fertigmontageset für 32 635 000, ohne Unterputz-Einbaukörper, GROHE EcoJoy® Mousseur 5,7 l/min, GROHE AquaGuide verstellbarer Mousseur, GROHE StarLight® Chromoberfläche, Ausladung 183 mm, Stichmaß 110 mm, Metallrosette, Bedienungshebel aus Metall;Langlebige Chromoberfläche, einfach zu reinigen (GROHE StarLight®), Wasser sparen ohne Komfortverlust (GROHE EcoJoy®), Durchflussbegrenzer für einen Wasserverbrauch von max. 5,7 Liter pro Minute, Luftsprudler für eine optimale Strahlausrichtung um +/- 10° verstellbar (GROHE AquaGuide®), Inklusive Metallrosetten;Wandmontage;NULL;NULL;NULL;NULL;chrom;NULL;147,24;328,56;279,2;NULL
28;KC14972.010200;Keuco_PlanToilettenbürstengarnitur_14972010200;Keuco_PlanToilettenbürstengarnitur_1;1;Keuco;Keuco Plan Toilettenbürstengarnitur ;komplett mit Kunststoff-Einsatz schwarz,  Bürste mit Griff und Ersatzbürstenkopf schwarz;Keuco Plan Toilettenbürstengarnitur, Einsatz u.Bürstenkopf schwarz;WC-Bürstengarnituren;NULL;NULL;NULL;NULL;chrom;NULL;47,33;103,8;86,5;NULL
29;KC12760.010000;Keuco_MollToilettenpapierhalter_12760010000;Keuco_MollToilettenpapierhalter_1;1;Keuco;Keuco Moll Toilettenpapierhalter mit Deckel;für Rollenbreite 100mm, Metall, chrom;mit Deckel, für Rollenbreite 100 mm ;Toilettenpapierhalter;NULL;NULL;NULL;NULL;chrom;NULL;44,54;96,96;80,8;NULL
30;KC1618N;Keuco_EleganceHandtuchhalter_01618010000;Keuco_EleganceHandtuchhalter_1;1;Keuco;Keuco Elegance Handtuchhalter;Keuco Elegance Handtuchhalter, 2-teilig verchromt ;NULL;Handtuchhalter;NULL;NULL;NULL;NULL;chrom;NULL;64,18;133,44;111,2;NULL
31;KC11158.010000;Keuco_Edition11Duschkorb_11158010000;Keuco_Edition11Duschkorb_1;3;Keuco;Keuco Edition Duschkorb;Keuco Edition 11 Duschkorb 300mm, Aluminium silber-eloxiert/verchromt;NULL;Duschkörbe;NULL;NULL;NULL;NULL;silber eloxiert/chrom;NULL;81,31;174,98;145,8;NULL
32;EMCO052100101;Emco_TürkisSeifenspender_052100101;Emco_TürkisSeifenspender_1;4;Emco;Emco Türkis Seifenspender mit Kristallglasbehälter;komplett, satinierter Kristallglasbehälter mit Kunststoffpumpe in geradlinigem, purem Design, Wird an 2 Punkten verdeckt angebracht, Bohrlochabstand: 24 mm, Breite 70 mm, Höhe 160 mm, Tiefe 113 mm, Lieferung inkl. korrosionsbeständigem Befestigungsmaterial;Emco Türkis Seifenspender mit Kristallglasbehälter satiniert, chrom ;Seifenspender;NULL;NULL;NULL;NULL;chrom;NULL;30,41;70,92;45,8;NULL
33;ISN1404;Idealstandart_ConnectSpiegel_N1404BH;Idealstandart_ConnectSpiegel_1;1;Ideal Standart;Ideal Standart Connect Spiegel;Kristallglas,verspiegelt,500mm;NULL;Wandspiegel;NULL;NULL;NULL;NULL;verspiegelt;Spiegel;59,59;129,6;108,0;NULL
34;SAM5503970;Sam_MiroKosmetikspiegel_5503970010;Sam_MiroKosmetikspiegel_1;2;Sam;Sam Miro Wand-Kosmetikspiegel mit LED-Beleuchtung;Kosmetikspiegel einseitig konkav, mit 7-fach Vergrößerung, mit LED-Beleuchtung, mit Direktanschluss, Touch-LED-Sensor als Ein-/Ausschalter, dimmbar, Spiegel an ineinander klappbaren Doppelgelenkarm beweglich gelagert, ohne sichtbare Kabelverbindung, schattenfrei, tageslichttauglich. Elektrische Ausstattung nach deutscher Norm;einseitig konkav, 212 mm Ø mit LED-Beleuchtung, 100 - 240 V, mit Direktanschluss, Touch-LED-Sensor als Ein-/Ausschalter, dimmbar, Spiegel an ineinander klappbaren Doppelgelenkarm beweglich gelagert, chrom;Kosmetikspiegel;NULL;NULL;NULL;NULL;chrom;Spiegel;502,56;838,6;698,0;NULL
35;K807840;Keramag_Xeno2Lichtspiegelelement_807840000;Keramag_Xeno2Lichtspiegelelement_1;1;Keramag;Keramag Xeno2 Lichtspiegel;LED 24 V DC 23 W, 4000 K/1025 lm, 230V, mit Sensorschalter, dimmbar und Anti-Beschlag;NULL;Wandspiegel;NULL;NULL;NULL;NULL;verspiegelt;Spiegel;443,8;909,6;758,0;NULL
36;SAM5503110;Sam_KosmetikspiegelUnbeleuchtet_5503110010;Sam_KosmetikspiegelUnbeleuchtet_1;1;Sam;Sam Wand-Kosmetikspiegel unbeleuchtet;Rückwand verchromt, einseitig konkav, Spiegel 212 mm Ø, Spiegel auf einer Wandkonsole + Doppelgelenkarm, beweglich gelagert, chrom;Sam Kosmetikspiegel unbeleuchtet, einseitig konkav, 10 fache Vergrößerung;Kosmetikspiegel;NULL;NULL;NULL;NULL;verspiegelt;Spiegel;162,36;295,2;246,0;NULL
